,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
20,abaissement,0.31,<ab<(baisser)>ment>,"(1, 1, 1)",3,1.44,2,33.3333333333333,5,80.7,7,60,919,5042.80999999999,4,64.2002176278563,3
47,abordage,1.22,<a<(bord)>age>,"(1, 1, 1)",271,2142.22,1,43.1734317343173,12,121.46,4,66.6666666666666,201,707.48,3,41.2935323383084,3
264,ambivalence,0.28,<ambi<(valoir)>nce>,"(1, 1, 1)",2,0.34,4,0,16,308.48,6,81.25,213,1491.29,3,76.9953051643192,3
265,ambivalente,0.06,<ambi<(valoir)>ant/ent>,"(1, 1, 1)",2,0.34,4,50,16,308.48,6,93.75,522,3302.43999999999,7,82.375478927203,3
346,antécédents,5.59,<anté<(céder)>ant/ent>,"(1, 1, 1)",2,8.42,4,0,12,66.31,5,25,522,3302.43999999999,7,16.4750957854406,3
586,avènement,0.53,<a<(venir)>ment>,"(1, 1, 1)",271,2142.22,1,62.3616236162361,18,3610.1,5,83.3333333333333,919,5042.80999999999,4,54.189336235038,3
591,aversion,0.97,<a<(verse)>ion>,"(1, 1, 1)",271,2142.22,1,47.970479704797,12,412.229999999999,5,41.6666666666666,766,3498.54,3,60.1827676240208,3
1774,coefficient,0.81,<co<(effet)>ant/ent>,"(1, 1, 1)",24,73.72,2,58.3333333333333,7,152.899999999999,5,71.4285714285714,522,3302.43999999999,7,51.3409961685823,3
1797,collaborateurs,3.65,<co<(labor)>eur>,"(1, 1, 1)",24,73.72,2,29.1666666666666,7,33.83,5,57.1428571428571,501,2127.06,3,21.9560878243512,3
1841,commisération,0.14,<co<(misère)>ion>,"(1, 1, 1)",24,73.72,2,75,5,39.68,6,80,766,3498.54,3,86.9451697127937,3
1859,compartiment,6.73,<com<(partir)>ment>,"(1, 1, 1)",14,28.22,3,7.14285714285714,15,1760.78999999999,6,26.6666666666666,919,5042.80999999999,4,11.5342763873775,3
1919,condoléances,10.8,<con<(douleur)>nce>,"(1, 1, 1)",56,190.18,3,5.35714285714285,9,106.699999999999,7,22.2222222222222,213,1491.29,3,16.4319248826291,3
2006,convention,7.44,<con<(venir)>ion>,"(1, 1, 1)",56,190.18,3,7.14285714285714,18,3610.1,5,44.4444444444444,766,3498.54,3,15.5352480417754,3
2707,effraction,7.49,<é<(fract)>ion>,"(1, 1, 1)",86,320.17,1,8.13953488372093,6,21.89,5,16.6666666666666,766,3498.54,3,15.2741514360313,3
2709,effusion,1.73,<é<(être)>ion>,"(1, 1, 1)",86,320.17,1,25.5813953488372,4,42435.68,4,50,766,3498.54,3,45.3002610966057,3
2746,élocution,0.84,<é<(locut)>ion>,"(1, 1, 1)",86,320.17,1,41.860465116279,7,3.06999999999999,5,14.2857142857142,766,3498.54,3,63.0548302872062,3
3043,éventail,2.96,<é<(vent)>ail>,"(1, 1, 1)",86,320.17,1,18.6046511627907,8,87.3899999999999,4,12.5,8,29.13,3,25,3
3071,excursion,3.67,<ex<(curs)>ion>,"(1, 1, 1)",23,79.38,2,17.391304347826,3,4.4,4,0,766,3498.54,3,28.1984334203655,3
3098,extension,2.43,<ex<(tendre)>ion>,"(1, 1, 1)",23,79.38,2,30.4347826086956,17,196.97,6,47.0588235294117,766,3498.54,3,37.0757180156658,3
3103,extorsion,1.57,<ex<(tordre)>ion>,"(1, 1, 1)",23,79.38,2,39.1304347826086,11,25.4,6,18.1818181818181,766,3498.54,3,47.3890339425587,3
4118,ignominie,0.89,<in<(nom)>ie>,"(1, 1, 1)",427,1478.96,2,47.5409836065573,13,666,3,69.2307692307692,59,435.78,2,67.7966101694915,3
4151,imposture,1.78,<in<(poste)>ure>,"(1, 1, 1)",427,1478.96,2,31.1475409836065,5,102.98,5,60,122,595.65,3,39.3442622950819,3
4198,infraction,3.95,<in<(fract)>ion>,"(1, 1, 1)",427,1478.96,2,15.6908665105386,6,21.89,5,33.3333333333333,766,3498.54,3,26.7624020887728,3
4238,intempéries,0.42,<in<(tempérer)>ie>,"(1, 1, 1)",427,1478.96,2,67.2131147540983,4,20.81,8,50,59,435.78,2,86.4406779661017,3
4961,mécréants,0.36,<mé<(créer)>ant/ent>,"(1, 1, 1)",14,36.91,2,64.2857142857142,9,146.2,5,88.8888888888888,522,3302.43999999999,7,64.367816091954,3
6387,poursuivant,1.64,<pour<(suivre)>ant/ent>,"(1, 1, 1)",6,94.1399999999999,4,50,6,677.169999999999,6,50,522,3302.43999999999,7,36.7816091954023,3
6446,préposition,0.2,<pré<(poser)>ion>,"(1, 1, 1)",49,209.31,3,71.4285714285714,24,427.529999999999,5,58.3333333333333,766,3498.54,3,84.5953002610966,3
6514,progéniture,1.6,<pro<(gène)>ure>,"(1, 1, 1)",15,37.76,3,40,19,41.24,4,31.578947368421,122,595.65,3,41.8032786885245,3
6537,prolongement,0.36,<pro<(long)>ment>,"(1, 1, 1)",15,37.76,3,73.3333333333333,13,547.88,4,76.9230769230769,919,5042.80999999999,4,61.4798694232861,3
6562,promontoire,0.18,<pro<(mont)>oire>,"(1, 1, 1)",15,37.76,3,93.3333333333333,4,14.8199999999999,4,75,47,114.259999999999,4,85.1063829787234,3
6631,provenance,3.73,<pro<(venir)>nce>,"(1, 1, 1)",15,37.76,3,33.3333333333333,18,3610.1,5,61.1111111111111,213,1491.29,3,29.1079812206572,3
6633,provenant,3.74,<pro<(venir)>ant/ent>,"(1, 1, 1)",15,37.76,3,26.6666666666666,18,3610.1,5,55.5555555555555,522,3302.43999999999,7,22.6053639846743,3
6635,provenir,1.36,<pro<(venir)>[VB]>,"(1, 1, 1)",15,37.76,3,53.3333333333333,18,3610.1,5,72.2222222222222,1600,25208.9699999999,2,46.3125,3
6883,racontars,1.08,<re<(conte)>ars>,"(1, 1, 1)",434,6595.02,2,53.6866359447004,5,268.43,5,80,1,1.08,3,0,3
7053,réabonnement,0.03,<re<(abonner)>ment>,"(1, 1, 1)",434,6595.02,2,86.1751152073732,3,4.24,7,66.6666666666666,919,5042.80999999999,4,86.7247007616974,3
7054,réacteur,5.24,<re<(acte)>eur>,"(1, 1, 1)",434,6595.02,2,25.3456221198156,23,301.26,4,34.7826086956521,501,2127.06,3,14.5708582834331,3
7056,réaction,26.4,<re<(acte)>ion>,"(1, 1, 1)",434,6595.02,2,8.98617511520737,23,301.26,4,13.0434782608695,766,3498.54,3,2.48041775456919,3
7066,réamorçage,0.01,<re<(amorce)>age>,"(1, 1, 1)",434,6595.02,2,89.1705069124423,5,3.97999999999999,6,80,201,707.48,3,85.0746268656716,3
7067,réanimation,2.16,<re<(animer)>ion>,"(1, 1, 1)",434,6595.02,2,39.4009216589861,6,20.1199999999999,6,16.6666666666666,766,3498.54,3,39.2950391644908,3
7076,reboisement,0.1,<re<(boire)>ment>,"(1, 1, 1)",434,6595.02,2,80.6451612903225,17,647.84,5,88.235294117647,919,5042.80999999999,4,79.8694232861806,3
7130,réclamation,2.15,<re<(clamer)>ion>,"(1, 1, 1)",434,6595.02,2,39.6313364055299,12,34.87,6,25,766,3498.54,3,39.4255874673629,3
7134,recodage,0.01,<re<(code)>age>,"(1, 1, 1)",434,6595.02,2,89.1705069124423,7,57.79,4,71.4285714285714,201,707.48,3,85.0746268656716,3
7143,réconciliation,2.38,<re<(concile)>ion>,"(1, 1, 1)",434,6595.02,2,37.7880184331797,10,10.93,7,10,766,3498.54,3,37.4673629242819,3
7147,reconfiguration,0.02,<re<(configurer)>ion>,"(1, 1, 1)",434,6595.02,2,87.7880184331797,3,1.1,10,66.6666666666666,766,3498.54,3,93.864229765013,3
7149,réconfortante,0.2,<re<(confort)>ant/ent>,"(1, 1, 1)",434,6595.02,2,76.036866359447,9,35.51,7,77.7777777777777,522,3302.43999999999,7,72.6053639846743,3
7151,reconnaissables,0.56,<re<(connaître)>able>,"(1, 1, 1)",434,6595.02,2,64.7465437788018,11,1244.33,9,72.7272727272727,313,1042.69,4,59.4249201277955,3
7155,reconnaissance,15.28,<re<(connaître)>nce>,"(1, 1, 1)",434,6595.02,2,15.2073732718894,11,1244.33,9,45.4545454545454,213,1491.29,3,13.6150234741784,3
7157,reconnaissante,21.52,<re<(connaître)>ant/ent>,"(1, 1, 1)",434,6595.02,2,11.5207373271889,11,1244.33,9,36.3636363636363,522,3302.43999999999,7,5.17241379310344,3
7181,reconstitution,2.12,<re<(constituer)>ion>,"(1, 1, 1)",434,6595.02,2,39.8617511520737,6,21.63,10,50,766,3498.54,3,39.8172323759791,3
7182,reconstruction,2.07,<re<(construire)>ion>,"(1, 1, 1)",434,6595.02,2,41.0138248847926,6,83.26,10,50,766,3498.54,3,40.8616187989556,3
7189,recoupements,0.17,<re<(couper)>ment>,"(1, 1, 1)",434,6595.02,2,77.4193548387096,13,616.769999999999,6,76.9230769230769,919,5042.80999999999,4,71.70837867247,3
7221,recueillant,0.05,<re<(cueillir)>ant/ent>,"(1, 1, 1)",434,6595.02,2,84.1013824884792,5,21.5,8,80,522,3302.43999999999,7,84.2911877394636,3
7223,recueillement,0.2,<re<(cueillir)>ment>,"(1, 1, 1)",434,6595.02,2,76.036866359447,5,21.5,8,60,919,5042.80999999999,4,70.620239390642,3
7237,recyclage,0.78,<re<(cycle)>age>,"(1, 1, 1)",434,6595.02,2,59.9078341013824,11,20.04,5,27.2727272727272,201,707.48,3,51.7412935323383,3
7281,redressement,1.63,<re<(dresser)>ment>,"(1, 1, 1)",434,6595.02,2,46.3133640552995,5,28.22,7,40,919,5042.80999999999,4,30.5767138193688,3
7298,réécriture,0.11,<re<(écrire)>ure>,"(1, 1, 1)",434,6595.02,2,80.184331797235,14,378.32,6,85.7142857142857,122,595.65,3,81.9672131147541,3
7299,rééducateur,0,<re<(éduquer)>eur>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,4,28.84,7,75,501,2127.06,3,93.4131736526946,3
7300,rééducation,2.48,<re<(éduquer)>ion>,"(1, 1, 1)",434,6595.02,2,36.6359447004608,4,28.84,7,50,766,3498.54,3,36.5535248041775,3
7302,réélection,0.56,<re<(élire)>ion>,"(1, 1, 1)",434,6595.02,2,64.7465437788018,6,41.75,5,66.6666666666666,766,3498.54,3,70.1044386422976,3
7333,réfrigérante,0.04,<re<(froid)>ant/ent>,"(1, 1, 1)",434,6595.02,2,85.0230414746543,11,194.89,5,90.9090909090909,522,3302.43999999999,7,85.4406130268199,3
7334,réfrigérateur,2.94,<re<(froid)>eur>,"(1, 1, 1)",434,6595.02,2,33.8709677419354,11,194.89,5,27.2727272727272,501,2127.06,3,25.3493013972055,3
7344,régénération,0.67,<re<(générer)>ion>,"(1, 1, 1)",434,6595.02,2,62.442396313364,9,40.4,7,66.6666666666666,766,3498.54,3,67.1018276762402,3
7368,regroupement,0.52,<re<(groupe)>ment>,"(1, 1, 1)",434,6595.02,2,65.6682027649769,5,109.99,6,80,919,5042.80999999999,4,54.6245919477693,3
7380,réinsertion,1.51,<re<(insérer)>ion>,"(1, 1, 1)",434,6595.02,2,47.9262672811059,3,3.16,7,0,766,3498.54,3,48.9556135770235,3
7403,réjouissance,0.72,<re<(jouir)>nce>,"(1, 1, 1)",434,6595.02,2,61.5207373271889,6,36.97,5,50,213,1491.29,3,61.9718309859154,3
7405,réjouissantes,0,<re<(jouir)>ant/ent>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,6,36.97,5,66.6666666666666,522,3302.43999999999,7,93.2950191570881,3
7406,relâchement,0.44,<re<(lâcher)>ment>,"(1, 1, 1)",434,6595.02,2,67.7419354838709,5,251.73,6,80,919,5042.80999999999,4,57.9978237214363,3
7432,reliure,0.669999999999999,<re<(lier)>ure>,"(1, 1, 1)",434,6595.02,2,62.9032258064516,12,113.24,4,83.3333333333333,122,595.65,3,59.0163934426229,3
7435,reluisants,0.06,<re<(luire)>ant/ent>,"(1, 1, 1)",434,6595.02,2,83.4101382488479,4,11.54,5,75,522,3302.43999999999,7,82.375478927203,3
7438,remarquables,13.2199999999999,<re<(marque)>able>,"(1, 1, 1)",434,6595.02,2,15.8986175115207,8,189.79,6,50,313,1042.69,4,4.47284345047923,3
7443,remerciement,5.52,<re<(merci)>ment>,"(1, 1, 1)",434,6595.02,2,24.4239631336405,3,1431.33,5,66.6666666666666,919,5042.80999999999,4,13.4929270946681,3
7464,rémission,1.69,<re<(mettre)>ion>,"(1, 1, 1)",434,6595.02,2,44.9308755760368,11,1192.07,6,54.5454545454545,766,3498.54,3,45.8224543080939,3
7483,renaissance,2.75,<re<(naître)>nce>,"(1, 1, 1)",434,6595.02,2,34.7926267281106,5,73.51,6,60,213,1491.29,3,34.2723004694835,3
7534,renégat,1.45,<re<(nier)>at>,"(1, 1, 1)",434,6595.02,2,48.8479262672811,3,27.98,4,66.6666666666666,36,166.91,2,38.8888888888888,3
7536,renégociation,0.05,<re<(négocier)>ion>,"(1, 1, 1)",434,6595.02,2,84.1013824884792,6,25.45,8,83.3333333333333,766,3498.54,3,91.77545691906,3
7538,renflement,0.17,<re<(enfler)>ment>,"(1, 1, 1)",434,6595.02,2,77.4193548387096,4,7.43,6,75,919,5042.80999999999,4,71.70837867247,3
7545,reniement,0.02,<re<(ni)>ment>,"(1, 1, 1)",434,6595.02,2,87.7880184331797,2,377.659999999999,2,50,919,5042.80999999999,4,88.683351468988,3
7553,renouvellement,0.89,<re<(nouveau)>ment>,"(1, 1, 1)",434,6595.02,2,57.3732718894009,12,677.34,7,50,919,5042.80999999999,4,44.5048966267682,3
7554,rénovation,0.51,<re<(nouveau)>ion>,"(1, 1, 1)",434,6595.02,2,66.1290322580645,12,677.34,7,66.6666666666666,766,3498.54,3,72.8459530026109,3
7555,renseignement,18.98,<re<(enseigner)>ment>,"(1, 1, 1)",434,6595.02,2,13.3640552995391,5,77.8699999999999,9,20,919,5042.80999999999,4,5.11425462459194,3
7564,réorganisation,0.36,<re<(organiser)>ion>,"(1, 1, 1)",434,6595.02,2,69.3548387096774,4,72.72,9,75,766,3498.54,3,78.3289817232376,3
7612,repassage,1.05,<re<(passe)>age>,"(1, 1, 1)",434,6595.02,2,54.147465437788,10,92.53,5,60,201,707.48,3,43.7810945273631,3
7613,repêchage,0.16,<re<(pêche)>age>,"(1, 1, 1)",434,6595.02,2,78.110599078341,5,52.8899999999999,5,80,201,707.48,3,70.1492537313433,3
7620,répercussions,0.94,<re<(percuter)>ion>,"(1, 1, 1)",434,6595.02,2,56.221198156682,4,5.01,8,50,766,3498.54,3,60.8355091383812,3
7652,reportage,11.16,<re<(porter)>age>,"(1, 1, 1)",434,6595.02,2,17.2811059907834,24,892.509999999999,6,37.5,201,707.48,3,7.46268656716417,3
7654,reporters,2.11,<re<(porter)>er>,"(1, 1, 1)",434,6595.02,2,40.0921658986175,24,892.509999999999,6,58.3333333333333,37,316.04,2,56.7567567567567,3
7657,repoussante,0.9,<re<(pouss)>ant/ent>,"(1, 1, 1)",434,6595.02,2,56.6820276497695,3,2.75,5,33.3333333333333,522,3302.43999999999,7,49.6168582375478,3
7677,représentante,12.98,<re<(présent)>ant/ent>,"(1, 1, 1)",434,6595.02,2,16.3594470046082,8,193.06,7,25,522,3302.43999999999,7,8.2375478927203,3
7679,représentation,8.68,<re<(présent)>ion>,"(1, 1, 1)",434,6595.02,2,19.5852534562212,8,193.06,7,37.5,766,3498.54,3,12.7937336814621,3
7688,reproducteurs,0.29,<re<(produire)>eur>,"(1, 1, 1)",434,6595.02,2,70.73732718894,6,128.03,8,83.3333333333333,501,2127.06,3,68.063872255489,3
7689,reproduction,4.24,<re<(produire)>ion>,"(1, 1, 1)",434,6595.02,2,29.9539170506912,6,128.03,8,66.6666666666666,766,3498.54,3,24.6736292428198,3
7710,répulsion,0.56,<re<(puls)>ion>,"(1, 1, 1)",434,6595.02,2,64.7465437788018,10,39.43,4,60,766,3498.54,3,70.1044386422976,3
7722,réquisition,0.52,<re<(quérir)>ion>,"(1, 1, 1)",434,6595.02,2,65.6682027649769,5,7.43,6,60,766,3498.54,3,72.5848563968668,3
7724,réquisitoire,0.39,<re<(quérir)>oire>,"(1, 1, 1)",434,6595.02,2,68.8940092165898,5,7.43,6,80,47,114.259999999999,4,70.2127659574468,3
7754,résonance,0.72,<re<(son)>nce>,"(1, 1, 1)",434,6595.02,2,61.5207373271889,18,1894.35999999999,3,55.5555555555555,213,1491.29,3,61.9718309859154,3
7776,ressemblance,5.02,<re<(sembler)>nce>,"(1, 1, 1)",434,6595.02,2,25.8064516129032,11,430.199999999999,7,27.2727272727272,213,1491.29,3,25.3521126760563,3
7778,ressemelage,0,<re<(semelle)>age>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,3,4.1,7,33.3333333333333,201,707.48,3,91.5422885572139,3
7787,ressentiment,1.56,<re<(sentir)>ment>,"(1, 1, 1)",434,6595.02,2,47.0046082949308,28,914.42,6,50,919,5042.80999999999,4,31.5560391730141,3
7791,resserrage,0.1,<re<(serrer)>age>,"(1, 1, 1)",434,6595.02,2,80.6451612903225,7,71.78,6,42.8571428571428,201,707.48,3,75.1243781094527,3
7792,resserrement,0,<re<(serrer)>ment>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,7,71.78,6,85.7142857142857,919,5042.80999999999,4,93.4711643090315,3
7806,restriction,1.95,<re<(strict)>ion>,"(1, 1, 1)",434,6595.02,2,41.7050691244239,3,14.5599999999999,6,66.6666666666666,766,3498.54,3,42.5587467362924,3
7810,résurgence,0.46,<re<(surgir)>nce>,"(1, 1, 1)",434,6595.02,2,67.2811059907834,4,15.3999999999999,6,50,213,1491.29,3,69.9530516431924,3
7811,résurrection,4.15,<re<(surgir)>ion>,"(1, 1, 1)",434,6595.02,2,30.4147465437788,4,15.3999999999999,6,25,766,3498.54,3,25.3263707571801,3
7812,rétablissement,2.08,<re<(établir)>ment>,"(1, 1, 1)",434,6595.02,2,40.552995391705,4,47.93,7,75,919,5042.80999999999,4,25.2448313384113,3
7814,retardement,1.61,<re<(tard)>ment>,"(1, 1, 1)",434,6595.02,2,46.5437788018433,8,556.71,4,75,919,5042.80999999999,4,30.7943416757344,3
7844,retombante,0,<re<(tomber)>ant/ent>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,5,347.599999999999,6,80,522,3302.43999999999,7,93.2950191570881,3
7847,retournement,0.82,<re<(tour)>ment>,"(1, 1, 1)",434,6595.02,2,58.7557603686635,31,1014.31,4,67.7419354838709,919,5042.80999999999,4,45.7018498367791,3
7853,retranchements,0.17,<re<(tranche)>ment>,"(1, 1, 1)",434,6595.02,2,77.4193548387096,6,29.52,7,66.6666666666666,919,5042.80999999999,4,71.70837867247,3
7855,rétrocession,0,<rétro<(céder)>ion>,"(1, 1, 1)",5,1.79999999999999,5,80,12,66.31,5,91.6666666666666,766,3498.54,3,96.6057441253263,3
7856,rétrogradation,0.07,<rétro<(grade)>ion>,"(1, 1, 1)",5,1.79999999999999,5,60,5,10.81,5,80,766,3498.54,3,90.3394255874673,3
7857,rétrospective,0.51,<rétro<(spectacle)>if>,"(1, 1, 1)",5,1.79999999999999,5,20,4,59.9299999999999,9,50,168,409.409999999999,2,55.3571428571428,3
7858,retrouvailles,2.43,<re<(trouver)>aille>,"(1, 1, 1)",434,6595.02,2,37.3271889400921,6,1644.86,7,50,23,42.56,5,26.0869565217391,3
7859,rétroviseur,0.86,<rétro<(voir)>eur>,"(1, 1, 1)",5,1.79999999999999,5,0,28,3534.49,4,78.5714285714285,501,2127.06,3,52.6946107784431,3
7860,réunion,56.83,<re<(un)>ion>,"(1, 1, 1)",434,6595.02,2,5.76036866359447,14,21122.25,2,7.14285714285714,766,3498.54,3,1.0443864229765,3
7871,réveillon,4.46,<re<(éveil)>on>,"(1, 1, 1)",434,6595.02,2,28.3410138248847,5,216.709999999999,5,60,109,331.19,2,18.348623853211,3
7878,revenants,6.44,<re<(venir)>ant/ent>,"(1, 1, 1)",434,6595.02,2,22.8110599078341,18,3610.1,5,50,522,3302.43999999999,7,14.55938697318,3
7880,revendeur,1.2,<re<(vendre)>eur>,"(1, 1, 1)",434,6595.02,2,51.3824884792626,5,232.95,6,80,501,2127.06,3,44.7105788423153,3
7914,revêtement,0.99,<re<(vêtir)>ment>,"(1, 1, 1)",434,6595.02,2,55.5299539170506,10,84.3,5,50,919,5042.80999999999,4,42.2198041349292,3
7941,revirement,0.57,<re<(virer)>ment>,"(1, 1, 1)",434,6595.02,2,64.516129032258,5,97.8099999999999,5,60,919,5042.80999999999,4,52.3394994559303,3
7967,revoyure,0.28,<re<(voy)>ure>,"(1, 1, 1)",434,6595.02,2,71.4285714285714,7,30.5,3,71.4285714285714,122,595.65,3,72.1311475409836,3
8440,saupoudrage,0.02,<sau<(poudre)>age>,"(1, 1, 1)",3,0.04,3,0,8,23.9499999999999,6,37.5,201,707.48,3,82.5870646766169,3
8441,saupoudreur,0.02,<sau<(poudre)>eur>,"(1, 1, 1)",3,0.04,3,0,8,23.9499999999999,6,37.5,501,2127.06,3,88.0239520958083,3
9070,soubassement,0.02,<sous<(bas)>ment>,"(1, 1, 1)",15,98.6,4,93.3333333333333,4,16.34,3,50,919,5042.80999999999,4,88.683351468988,3
9115,soulèvement,0.77,<sous<(lever)>ment>,"(1, 1, 1)",15,98.6,4,60,10,432.67,5,80,919,5042.80999999999,4,46.6811751904243,3
9177,souteneur,0.75,<sous<(tenir)>eur>,"(1, 1, 1)",15,98.6,4,66.6666666666666,25,976.42,5,68,501,2127.06,3,55.2894211576846,3
9183,souterraine,7.77,<sous<(terre)>ain>,"(1, 1, 1)",15,98.6,4,13.3333333333333,19,522.31,5,42.1052631578947,31,805.679999999999,3,35.4838709677419,3
9555,surabondance,0.08,<sur<(abonder)>nce>,"(1, 1, 1)",55,248.22,3,72.7272727272727,5,4.59,7,80,213,1491.29,3,89.2018779342723,3
9560,suralimentation,0,<sur<(aliment)>ion>,"(1, 1, 1)",55,248.22,3,87.2727272727272,5,21.18,7,80,766,3498.54,3,96.6057441253263,3
9561,surbookée,0.03,<sur<(book)>[VB]>,"(1, 1, 1)",55,248.22,3,80,2,1.65,4,50,1600,25208.9699999999,2,81.625,3
9562,surcompensation,0.01,<sur<(compenser)>ion>,"(1, 1, 1)",55,248.22,3,85.4545454545454,4,32.3,9,75,766,3498.54,3,95.1697127937336,3
9581,surintendance,0,<sur<(intendant)>nce>,"(1, 1, 1)",55,248.22,3,87.2727272727272,4,6.27999999999999,9,75,213,1491.29,3,96.244131455399,3
9584,surnaturelle,6.1,<sur<(nature)>el>,"(1, 1, 1)",55,248.22,3,12.7272727272727,9,137.06,6,33.3333333333333,153,1103.39999999999,2,19.6078431372549,3
9603,surpression,0.09,<sur<(presser)>ion>,"(1, 1, 1)",55,248.22,3,69.0909090909091,5,126.84,7,80,766,3498.54,3,89.9477806788511,3
9608,surréalisme,0.1,<sur<(réel)>isme>,"(1, 1, 1)",55,248.22,3,67.2727272727272,14,213.84,4,85.7142857142857,91,100.85,4,75.8241758241758,3
9609,surréalistes,1.15,<sur<(réel)>iste>,"(1, 1, 1)",55,248.22,3,38.1818181818181,14,213.84,4,71.4285714285714,119,322.749999999999,4,33.6134453781512,3
9616,surveillance,19.05,<sur<(veille)>nce>,"(1, 1, 1)",55,248.22,3,3.63636363636363,9,28.34,6,0,213,1491.29,3,10.7981220657277,3
9617,surveillants,0.45,<sur<(veille)>ant/ent>,"(1, 1, 1)",55,248.22,3,52.7272727272727,9,28.34,6,66.6666666666666,522,3302.43999999999,7,61.8773946360153,3
9625,survêtement,0.63,<sur<(vêtir)>ment>,"(1, 1, 1)",55,248.22,3,50.9090909090909,10,84.3,5,80,919,5042.80999999999,4,49.6191512513601,3
9633,survivante,15.26,<sur<(vivre)>ant/ent>,"(1, 1, 1)",55,248.22,3,5.45454545454545,20,823.909999999999,5,15,522,3302.43999999999,7,7.47126436781609,3
9663,suspension,3.92,<sus<(pendre)>ion>,"(1, 1, 1)",2,20.1599999999999,3,50,9,374.139999999999,6,33.3333333333333,766,3498.54,3,26.8929503916449,3
9678,symétrie,1.2,<syn<(mètre)>ie>,"(1, 1, 1)",8,28.31,3,50,16,98.51,5,50,59,435.78,2,57.6271186440678,3
9679,symétriques,1.03,<syn<(mètre)>ique>,"(1, 1, 1)",8,28.31,3,62.5,16,98.51,5,62.5,281,852.449999999999,4,46.6192170818505,3
9684,sympathiques,3.45,<syn<(pathe/ie)>iques2>,"(1, 1, 1)",8,28.31,3,25,13,52.9799999999999,8,38.4615384615384,1,3.45,6,0,3
10311,transcription,0.84,<trans<(écrire)>ion>,"(1, 1, 1)",26,105.41,5,46.1538461538461,14,378.32,6,50,766,3498.54,3,63.0548302872062,3
10320,transformation,4.48,<trans<(forme)>ion>,"(1, 1, 1)",26,105.41,5,15.3846153846153,29,262.78,5,24.1379310344827,766,3498.54,3,23.7597911227154,3
10325,transhumances,0,<trans<(humer)>nce>,"(1, 1, 1)",26,105.41,5,84.6153846153846,4,1.55,5,75,213,1491.29,3,96.244131455399,3
10344,transmutation,0.1,<trans<(muter)>ion>,"(1, 1, 1)",26,105.41,5,69.2307692307692,9,20.2,5,88.8888888888888,766,3498.54,3,89.1644908616187,3
10347,transparence,1.59,<trans<(paraître)>nce>,"(1, 1, 1)",26,105.41,5,34.6153846153846,15,191.39,8,66.6666666666666,213,1491.29,3,47.4178403755868,3
10348,transparent,5.84999999999999,<trans<(paraître)>ant/ent>,"(1, 1, 1)",26,105.41,5,11.5384615384615,15,191.39,8,46.6666666666666,522,3302.43999999999,7,16.0919540229885,3
10353,transplantation,2.04,<trans<(plante)>ion>,"(1, 1, 1)",26,105.41,5,30.7692307692307,5,12.3,6,60,766,3498.54,3,41.5143603133159,3
10354,transpondeur,0.97,<trans<(pondre)>eur>,"(1, 1, 1)",26,105.41,5,38.4615384615384,2,4,6,50,501,2127.06,3,50.0998003992016,3
10434,triangulaires,0.32,<tri<(angle)>aire>,"(1, 1, 1)",11,12.7399999999999,3,54.5454545454545,6,18.79,5,66.6666666666666,179,853.76,4,74.8603351955307,3
10450,tridimensionnelle,0.07,<tri<(dimension)>el>,"(1, 1, 1)",11,12.7399999999999,3,72.7272727272727,3,10.07,9,66.6666666666666,153,1103.39999999999,2,81.0457516339869,3
10462,triporteur,0.12,<tri<(porter)>eur>,"(1, 1, 1)",11,12.7399999999999,3,63.6363636363636,24,892.509999999999,6,95.8333333333333,501,2127.06,3,78.6427145708582,3
10616,ultrasensibles,0.01,<ultra<(sentir)>able>,"(1, 1, 1)",2,0.03,5,50,28,914.42,6,89.2857142857142,313,1042.69,4,91.3738019169329,3
10626,uniformité,0.07,<uni<(forme)>ité>,"(1, 1, 1)",3,6.45,3,33.3333333333333,29,262.78,5,79.3103448275862,334,1491.88,3,85.3293413173652,3
11389,apparence,17.64,<a<(paraître)>nce>,"(1, 1, 1)",271,2142.22,1,10.3321033210332,15,191.39,8,20,213,1491.29,3,13.1455399061032,3
11391,apparent,3.11,<a<(paraître)>ant/ent>,"(1, 1, 1)",271,2142.22,1,25.4612546125461,15,191.39,8,53.3333333333333,522,3302.43999999999,7,26.0536398467432,3
11395,apparition,8.01,<a<(paraître)>ion>,"(1, 1, 1)",271,2142.22,1,14.760147601476,15,191.39,8,40,766,3498.54,3,14.0992167101827,3
11409,abaissant,0.04,<a<(baisser)>ant/ent>,"(1, 1, 1)",271,2142.22,1,89.6678966789667,5,80.7,7,80,522,3302.43999999999,7,85.4406130268199,3
11435,abatis,0,<a<(battre)>is>,"(1, 1, 1)",271,2142.22,1,95.2029520295202,12,253.13,6,91.6666666666666,22,19.93,2,86.3636363636363,3
